buyer_id,sale_id,buyer_type,payment_mode,loan_taken,loan_provider,loan_amount
108,L00909,Investor,UPI,True,PNB,8747928
109,L01167,Investor,Cheque,True,SBI,5575296
110,L00937,End User,Cheque,False,,0
111,L00372,End User,Bank Transfer,False,,0
112,L00890,Investor,UPI,False,,0
113,L00157,End User,UPI,True,ICICI,5663055
114,L00992,Investor,Cheque,True,HDFC,7891474
115,L00622,Investor,Bank Transfer,False,,0
116,L01038,End User,Cash,False,,0
117,L00245,End User,Cash,False,,0
118,L00159,Investor,Cash,False,,0
119,L00746,End User,UPI,False,,0
120,L00193,Investor,Cash,True,SBI,691174
121,L00534,Investor,Cash,False,,0
122,L00904,Investor,Bank Transfer,False,,0
123,L01004,Investor,Cash,False,,0
124,L01070,Investor,UPI,False,,0
125,L00414,Investor,Cash,True,Axis,7394177
126,L01187,Investor,UPI,True,SBI,968628
127,L00328,Investor,UPI,True,HDFC,2673653
128,L00129,Investor,Bank Transfer,False,,0
129,L00695,Investor,Cheque,True,PNB,935719
130,L00631,Investor,Cheque,False,,0
131,L00275,Investor,Bank Transfer,True,SBI,5359803
132,L01148,Investor,Cheque,True,SBI,4385904
133,L00309,End User,UPI,True,HDFC,4861126
134,L00234,End User,Bank Transfer,True,HDFC,6145401
135,L01048,End User,Cheque,True,PNB,5498536
136,L00623,End User,UPI,True,Axis,4056407
137,L00644,End User,UPI,True,ICICI,9502991
138,L00479,End User,UPI,False,,0
139,L00472,End User,Cash,False,,0
140,L00926,End User,UPI,False,,0
141,L01098,End User,Bank Transfer,False,,0
142,L00627,Investor,Cash,True,HDFC,4124169
143,L00395,Investor,UPI,True,PNB,5250704
144,L00637,Investor,Cheque,True,ICICI,3045459
145,L00768,Investor,Bank Transfer,True,PNB,5712705
146,L00533,Investor,Cheque,False,,0
147,L00718,End User,Bank Transfer,False,,0
148,L00667,Investor,Bank Transfer,True,SBI,8995220
149,L00598,Investor,Bank Transfer,False,,0
150,L00482,Investor,Cheque,True,HDFC,2680913
151,L01103,End User,Cash,False,,0
152,L00315,End User,Cheque,False,,0
153,L00729,End User,Cheque,True,Axis,4801792
154,L00210,End User,Cash,True,PNB,5078931
155,L00934,Investor,Cheque,True,HDFC,6369210
156,L00434,Investor,UPI,True,ICICI,5365886
157,L00329,End User,Cash,False,,0
158,L00261,Investor,Cash,True,HDFC,4544699
159,L01117,Investor,UPI,False,,0
160,L00307,End User,UPI,False,,0
161,L01067,End User,Cheque,True,SBI,4551434
162,L00928,Investor,UPI,True,Axis,5444076
163,L01025,Investor,UPI,False,,0
164,L00271,Investor,UPI,True,ICICI,4881154
165,L00291,End User,Bank Transfer,True,PNB,1896338
166,L00813,End User,Cash,False,,0
167,L00097,End User,Cheque,True,Axis,7580322
168,L00888,End User,Bank Transfer,False,,0
169,L00819,End User,Cash,True,ICICI,3015205
170,L00032,End User,UPI,True,Axis,8406460
171,L00763,End User,Cheque,True,SBI,1431566
172,L00954,Investor,Bank Transfer,False,,0
173,L00320,End User,Cheque,True,PNB,6927741
174,L00299,Investor,UPI,False,,0
175,L00200,Investor,Bank Transfer,False,,0
176,L00561,End User,UPI,True,ICICI,8196172
177,L00179,End User,Cash,False,,0
178,L01132,End User,Cheque,False,,0
179,L00089,End User,UPI,False,,0
180,L00788,Investor,Cheque,False,,0
181,L00725,End User,Cash,False,,0
182,L00827,Investor,UPI,True,Axis,9711336
183,L00209,Investor,Cash,False,,0
184,L01040,End User,Cash,True,SBI,8013405
185,L00297,Investor,UPI,False,,0
186,L00998,Investor,UPI,True,SBI,3424963
187,L00498,End User,Bank Transfer,True,SBI,8643511
188,L00835,End User,UPI,True,ICICI,2537468
189,L00430,Investor,UPI,False,,0
190,L00507,End User,Bank Transfer,True,SBI,9657264
191,L00831,End User,UPI,True,PNB,7341682
192,L00694,End User,Cheque,False,,0
193,L00011,End User,UPI,True,HDFC,6828628
194,L00848,Investor,Cheque,False,,0
195,L00463,End User,Bank Transfer,True,HDFC,9150054
196,L00199,End User,Cheque,True,PNB,8166446
197,L00060,Investor,Bank Transfer,False,,0
198,L00907,End User,Bank Transfer,False,,0
199,L00997,Investor,Bank Transfer,True,PNB,537031
200,L00276,End User,Bank Transfer,True,SBI,3048628
201,L00809,Investor,Bank Transfer,False,,0
202,L00908,End User,UPI,True,SBI,1918148
203,L00658,Investor,UPI,True,Axis,8370469
204,L00957,Investor,Cheque,True,SBI,1645256
205,L00886,End User,Cash,False,,0
206,L00221,End User,Cheque,True,SBI,3311716
207,L00789,Investor,UPI,False,,0
208,L00712,End User,Cash,False,,0
209,L00714,End User,UPI,True,ICICI,8758641
210,L01113,End User,Bank Transfer,False,,0
211,L01191,End User,UPI,True,PNB,6285373
212,L00790,Investor,Cheque,False,,0
213,L00416,Investor,Bank Transfer,False,,0
214,L00899,End User,Cash,False,,0
215,L00935,Investor,Bank Transfer,False,,0
216,L00266,End User,UPI,True,HDFC,5675268
217,L00632,Investor,UPI,False,,0
218,L00248,End User,UPI,False,,0
219,L00683,End User,Cheque,True,SBI,3561179
220,L00559,Investor,Cash,False,,0
221,L01137,Investor,UPI,False,,0
222,L00968,End User,UPI,False,,0
223,L01005,Investor,Cheque,True,PNB,2373180
224,L00985,End User,Cheque,False,,0
225,L00295,Investor,UPI,True,SBI,4027788
226,L00520,End User,Cheque,False,,0
227,L00771,End User,Cheque,True,SBI,8655878
228,L00084,End User,Cash,False,,0
229,L00232,End User,UPI,False,,0
230,L00621,Investor,Cash,False,,0
231,L00334,End User,UPI,False,,0
232,L00130,End User,Cheque,True,SBI,9800572
233,L01012,Investor,Bank Transfer,False,,0
234,L00645,End User,UPI,False,,0
235,L00974,Investor,Bank Transfer,True,SBI,5738569
236,L00383,End User,Bank Transfer,False,,0
237,L00868,End User,Cash,True,SBI,8934966
238,L00543,End User,Cash,True,SBI,6851325
239,L01194,Investor,Cheque,False,,0
240,L00875,Investor,Bank Transfer,False,,0
241,L00332,Investor,UPI,False,,0
242,L00410,Investor,Bank Transfer,True,SBI,3488536
243,L00077,End User,Cheque,True,HDFC,830278
244,L00869,End User,Cash,True,HDFC,2164370
245,L00139,End User,Cheque,False,,0
246,L00544,Investor,UPI,False,,0
247,L00674,Investor,Cash,True,Axis,3396789
248,L00921,End User,UPI,True,ICICI,6888182
249,L00064,End User,Cash,False,,0
250,L00142,Investor,Bank Transfer,False,,0
251,L00717,End User,Cash,False,,0
252,L00377,Investor,Cheque,True,Axis,2947059
253,L00364,Investor,UPI,True,Axis,9526689
254,L00140,End User,UPI,False,,0
255,L00885,End User,Cheque,True,ICICI,2034434
256,L01042,Investor,Bank Transfer,False,,0
257,L00225,End User,Cheque,False,,0
258,L00515,End User,UPI,True,SBI,7634008
259,L00267,End User,Bank Transfer,True,Axis,6020935
260,L01170,End User,Cash,True,SBI,989772
261,L00487,End User,UPI,True,HDFC,7214876
262,L00353,End User,UPI,False,,0
263,L01006,End User,UPI,False,,0
264,L00618,End User,Cash,False,,0
265,L00668,Investor,Bank Transfer,False,,0
266,L00775,Investor,UPI,False,,0
267,L00554,Investor,UPI,False,,0
268,L00576,Investor,UPI,False,,0
269,L00915,Investor,UPI,True,Axis,3574498
270,L00466,Investor,Cheque,False,,0
271,L00591,Investor,Cash,True,ICICI,652755
272,L00765,End User,Bank Transfer,False,,0
273,L00635,Investor,Cheque,False,,0
274,L00838,Investor,Cheque,False,,0
275,L00290,End User,Cash,True,Axis,1946443
276,L00040,End User,Cash,True,Axis,6608860
277,L00031,End User,Cash,False,,0
278,L00243,Investor,Bank Transfer,False,,0
279,L00429,End User,Cheque,True,Axis,5521652
280,L00137,Investor,Cash,True,SBI,5111026
281,L01101,Investor,Bank Transfer,False,,0
282,L00865,Investor,Cash,False,,0
283,L00004,End User,Cash,True,SBI,8155377
284,L00833,End User,Cash,True,PNB,9131341
285,L00603,End User,Cheque,True,ICICI,1047041
286,L01034,End User,Cash,False,,0
287,L00655,End User,UPI,True,HDFC,6748705
288,L00844,End User,UPI,False,,0
289,L00784,End User,Cash,True,Axis,4716382
290,L01074,Investor,Cash,True,ICICI,5127325
291,L00443,Investor,Bank Transfer,False,,0
292,L01178,Investor,Bank Transfer,False,,0
293,L00436,Investor,Bank Transfer,False,,0
294,L01169,Investor,UPI,False,,0
295,L00101,Investor,Cash,True,SBI,2341951
296,L00773,Investor,Cash,False,,0
297,L00495,Investor,Cheque,False,,0
298,L01028,Investor,UPI,False,,0
299,L00807,Investor,Bank Transfer,True,HDFC,9384163
300,L01142,Investor,Cash,False,,0
301,L00846,Investor,Cash,False,,0
302,L00987,End User,Cheque,True,ICICI,9898536
303,L00228,End User,UPI,False,,0
304,L01193,Investor,Cash,True,HDFC,9784560
305,L00672,Investor,Cheque,False,,0
306,L00859,End User,Bank Transfer,True,Axis,5795227
307,L00925,End User,Cash,True,HDFC,5498404
308,L00067,End User,Cheque,False,,0
309,L00068,End User,Cash,True,PNB,1867408
310,L00817,End User,UPI,False,,0
311,L00212,Investor,Cash,True,HDFC,3945228
312,L00013,End User,Bank Transfer,False,,0
313,L00494,Investor,Cash,False,,0
314,L01165,End User,Cheque,True,Axis,4257183
315,L00300,Investor,Bank Transfer,False,,0
316,L00411,Investor,Cash,True,Axis,6417144
317,L00757,End User,Cash,False,,0
318,L01075,End User,Cheque,True,Axis,1057790
319,L00696,Investor,UPI,False,,0
320,L01151,End User,Bank Transfer,True,HDFC,8075119
321,L00724,Investor,Cheque,True,PNB,9111358
322,L01016,End User,Cash,False,,0
323,L00528,End User,Cash,True,Axis,9541485
324,L00600,End User,Bank Transfer,True,HDFC,1888788
325,L01120,Investor,Cheque,False,,0
326,L00567,End User,Bank Transfer,True,Axis,2759394
327,L00731,End User,UPI,False,,0
328,L00274,Investor,UPI,False,,0
329,L00967,End User,UPI,False,,0
330,L00238,Investor,Bank Transfer,True,PNB,4102701
331,L00406,Investor,UPI,True,SBI,1818681
332,L00003,Investor,UPI,True,Axis,5709455
333,L00007,Investor,UPI,False,,0
334,L00312,End User,Cheque,False,,0
335,L01091,Investor,Cheque,True,ICICI,3079265
336,L00452,End User,Bank Transfer,True,PNB,3661077
337,L00722,Investor,UPI,False,,0
338,L00216,End User,UPI,True,ICICI,2831027
339,L01086,Investor,Bank Transfer,True,Axis,1331442
340,L00028,End User,Cheque,True,SBI,3487034
341,L01158,Investor,Cheque,False,,0
342,L00362,Investor,Cash,True,HDFC,1824315
343,L00823,End User,Cash,False,,0
344,L00781,End User,Cheque,True,SBI,7281849
345,L00629,End User,Cheque,True,PNB,7046370
346,L00454,End User,Cheque,True,SBI,5199133
347,L00739,Investor,Cheque,False,,0
348,L00536,End User,Bank Transfer,True,ICICI,843446
349,L01050,End User,Bank Transfer,True,PNB,4782219
350,L00399,Investor,Cheque,True,HDFC,9548649
351,L00257,Investor,Cheque,False,,0
352,L00292,End User,Bank Transfer,True,HDFC,8522419
353,L00026,Investor,Cash,False,,0
354,L00337,End User,Cash,True,PNB,8415186
355,L00585,Investor,Cheque,False,,0
356,L00048,End User,Cash,False,,0
357,L00319,End User,Bank Transfer,False,,0
358,L00107,Investor,UPI,False,,0
359,L00799,End User,Bank Transfer,True,SBI,1365228
360,L00056,Investor,Cheque,True,Axis,2317224
361,L00523,Investor,UPI,False,,0
362,L00214,End User,UPI,True,SBI,6822545
363,L00121,Investor,Cheque,False,,0
364,L00918,Investor,Cheque,True,SBI,2136837
365,L01068,End User,Cheque,True,PNB,9414669
366,L01118,End User,Cash,False,,0
367,L00073,End User,Bank Transfer,False,,0
368,L00948,End User,Cash,True,ICICI,903352
369,L00747,End User,Cash,False,,0
370,L00716,Investor,Cheque,True,HDFC,7690803
371,L00558,End User,Bank Transfer,True,HDFC,3097241
372,L01082,End User,Cheque,False,,0
373,L01046,Investor,UPI,False,,0
374,L00553,Investor,Cash,False,,0
375,L00562,Investor,Cheque,False,,0
376,L00425,Investor,UPI,True,SBI,2922189
377,L01014,Investor,Bank Transfer,False,,0
378,L00326,End User,UPI,True,ICICI,6320917
379,L00924,End User,Cash,False,,0
380,L00317,Investor,Cash,False,,0
381,L00804,End User,Bank Transfer,False,,0
382,L01163,Investor,Cash,True,Axis,7978761
383,L00529,Investor,Cheque,False,,0
384,L00837,Investor,Cheque,False,,0
385,L00715,End User,Bank Transfer,False,,0
386,L00901,End User,UPI,False,,0
387,L00061,Investor,Bank Transfer,True,Axis,3150900
388,L00723,Investor,Bank Transfer,False,,0
389,L00093,Investor,Cash,False,,0
390,L00858,End User,Cash,True,PNB,502453
391,L00619,Investor,Bank Transfer,False,,0
392,L00352,End User,Cheque,False,,0
393,L00933,Investor,Bank Transfer,True,Axis,1217195
394,L00281,End User,Cheque,True,PNB,7646353
395,L00421,Investor,UPI,False,,0
396,L01115,Investor,Cash,False,,0
397,L00360,End User,Cash,True,SBI,8679607
398,L00423,Investor,Cheque,True,SBI,8218059
399,L00679,End User,Cheque,True,ICICI,6553478
400,L00527,Investor,Cash,True,PNB,5838851
401,L00478,End User,UPI,True,ICICI,4736379
402,L01095,End User,UPI,False,,0
403,L00183,Investor,Bank Transfer,True,PNB,5046202
404,L01092,Investor,UPI,True,ICICI,9823153
405,L00433,End User,Cheque,True,HDFC,5917641
406,L00111,Investor,UPI,False,,0
407,L00371,Investor,UPI,False,,0
408,L00240,Investor,Bank Transfer,False,,0
409,L00709,End User,Bank Transfer,False,,0
410,L00630,Investor,Cash,False,,0
411,L00594,Investor,Bank Transfer,False,,0
412,L00486,Investor,Bank Transfer,False,,0
413,L00701,End User,Cheque,True,Axis,1842479
414,L00262,Investor,UPI,True,SBI,7996666
415,L00480,Investor,Cash,True,PNB,7419481
416,L00650,Investor,UPI,True,ICICI,7555831
417,L00340,End User,Cheque,False,,0
418,L00669,End User,Bank Transfer,False,,0
419,L00552,End User,UPI,False,,0
420,L00459,Investor,Bank Transfer,False,,0
421,L00184,End User,Cash,True,PNB,5092826
422,L00138,Investor,UPI,True,HDFC,8490967
423,L01161,Investor,Cheque,False,,0
424,L00707,Investor,Cheque,True,HDFC,6211563
425,L00582,Investor,Bank Transfer,True,Axis,7819201
426,L00081,End User,UPI,True,PNB,4780566
427,L00769,Investor,Cash,True,ICICI,5156056
428,L00870,End User,Cheque,True,SBI,6251856
429,L00762,End User,Cash,False,,0
430,L00030,Investor,UPI,False,,0
431,L00542,Investor,Cash,True,ICICI,3321397
432,L00166,End User,UPI,True,PNB,8083173
433,L00249,End User,Bank Transfer,True,ICICI,1479244
434,L00308,End User,Cheque,True,SBI,2717191
435,L00448,End User,Bank Transfer,True,SBI,7539780
436,L00347,Investor,UPI,True,ICICI,8655340
437,L00335,End User,UPI,False,,0
438,L00286,End User,Cash,False,,0
439,L00950,End User,Cash,True,Axis,1608475
440,L00098,Investor,Cash,False,,0
441,L00468,End User,UPI,True,ICICI,8632073
442,L01037,End User,Cheque,True,PNB,5478053
443,L00913,End User,Cash,True,PNB,2161542
444,L00756,Investor,Bank Transfer,True,HDFC,1419496
445,L00945,Investor,UPI,True,Axis,8402140
446,L00614,Investor,Cheque,True,SBI,2563605
447,L00802,Investor,UPI,True,PNB,7868613
448,L00758,Investor,Bank Transfer,False,,0
449,L00689,End User,Bank Transfer,True,PNB,8460053
450,L00066,End User,Cheque,True,ICICI,8081530
451,L00794,Investor,Cheque,False,,0
452,L00744,Investor,Cash,False,,0
453,L00568,End User,Cheque,False,,0
454,L01084,End User,UPI,True,ICICI,6310799
455,L01099,Investor,Cash,False,,0
456,L00303,End User,Cash,True,ICICI,9173656
457,L00255,End User,Cash,False,,0
458,L00959,Investor,Cheque,True,ICICI,638205
459,L01024,End User,Cash,False,,0
460,L00313,End User,Cash,False,,0
461,L00530,Investor,Cash,False,,0
462,L00222,End User,Cash,True,ICICI,1066199
463,L00389,End User,Bank Transfer,True,Axis,7247989
464,L00236,End User,Cash,True,SBI,9452589
465,L00810,Investor,Cheque,True,SBI,9129278
466,L00483,End User,Cheque,False,,0
467,L00713,End User,Cash,False,,0
468,L00306,Investor,UPI,True,Axis,4818467
469,L01111,End User,Cash,False,,0
470,L01090,Investor,Cheque,False,,0
471,L00772,End User,Bank Transfer,False,,0
472,L00917,End User,UPI,False,,0
473,L01139,End User,UPI,True,ICICI,3781513
474,L00250,Investor,Cheque,True,PNB,9443457
475,L00760,End User,UPI,False,,0
476,L00595,Investor,Bank Transfer,True,PNB,7459016
477,L00072,Investor,Cheque,True,Axis,8239353
478,L00095,End User,UPI,False,,0
479,L00546,Investor,Bank Transfer,False,,0
480,L00034,Investor,UPI,False,,0
481,L00862,End User,Cheque,True,SBI,6523031
482,L00579,End User,Cash,False,,0
483,L00449,End User,Cheque,False,,0
484,L00446,Investor,Cheque,True,SBI,4501029
485,L00260,Investor,Cheque,True,PNB,5015838
486,L00205,End User,UPI,True,SBI,3390368
487,L00573,Investor,UPI,True,ICICI,2212796
488,L00824,Investor,UPI,True,ICICI,8996818
489,L00586,Investor,UPI,True,SBI,1421020
490,L00366,End User,Cash,True,ICICI,4628690
491,L00812,End User,Cheque,False,,0
492,L00078,Investor,Bank Transfer,True,HDFC,3496108
493,L00085,End User,Cheque,True,PNB,7251440
494,L00539,End User,Bank Transfer,True,Axis,9103612
495,L00083,End User,Bank Transfer,False,,0
496,L00458,Investor,UPI,True,PNB,2683390
497,L01138,End User,Cheque,True,ICICI,1167136
498,L00615,End User,Cash,False,,0
499,L01186,End User,Bank Transfer,True,PNB,2201505
500,L01076,Investor,Cash,True,HDFC,6989577
501,L00737,Investor,Cheque,False,,0
502,L00437,End User,Cash,False,,0
503,L00555,End User,Cash,True,HDFC,4508067
504,L01080,Investor,Cheque,False,,0
505,L01062,End User,Cash,True,Axis,9591953
506,L00351,End User,UPI,False,,0
507,L00197,End User,UPI,False,,0
508,L00465,End User,Cheque,False,,0
509,L00589,Investor,Cash,False,,0
510,L00006,End User,Bank Transfer,False,,0
511,L00311,End User,Cheque,False,,0
512,L00662,Investor,UPI,False,,0
513,L00405,End User,Bank Transfer,False,,0
514,L01196,Investor,Bank Transfer,False,,0
515,L01044,Investor,Bank Transfer,True,SBI,762827
516,L01058,Investor,Bank Transfer,True,PNB,2319384
517,L00105,End User,Bank Transfer,True,PNB,4957272
518,L00537,End User,Cash,True,PNB,1933007
519,L00606,Investor,UPI,True,SBI,612189
520,L00063,Investor,Cheque,True,SBI,7311912
521,L00282,End User,Bank Transfer,True,PNB,577636
522,L01056,End User,Cash,True,PNB,2283908
523,L00239,Investor,UPI,True,Axis,4273549
524,L00224,End User,UPI,False,,0
525,L00146,End User,Bank Transfer,False,,0
526,L01119,End User,Cheque,False,,0
527,L00374,Investor,Cash,False,,0
528,L00119,Investor,Bank Transfer,False,,0
529,L00803,Investor,Cheque,True,Axis,2475692
530,L00251,End User,UPI,False,,0
531,L01157,End User,Cheque,False,,0
532,L00010,Investor,Bank Transfer,False,,0
533,L00450,Investor,UPI,True,ICICI,6185724
534,L00874,End User,Cash,True,PNB,1138756
535,L00390,Investor,UPI,False,,0
536,L00966,End User,Cheque,True,SBI,9270313
537,L00461,End User,Bank Transfer,False,,0
538,L01147,Investor,Cheque,False,,0
539,L00145,End User,Bank Transfer,False,,0
540,L00502,Investor,Cheque,True,Axis,9566156
541,L01108,Investor,UPI,False,,0
542,L00540,End User,Cash,False,,0
543,L00178,End User,Bank Transfer,True,ICICI,3849774
544,L01159,Investor,Cheque,True,Axis,2954983
545,L01051,Investor,UPI,True,PNB,7339555
546,L00584,End User,Cash,True,PNB,1840761
547,L01195,End User,Cash,True,HDFC,1191576
548,L00008,End User,UPI,False,,0
549,L00574,End User,Cheque,True,SBI,2638261
550,L00843,Investor,Bank Transfer,True,PNB,3380585
551,L00358,Investor,Cash,True,PNB,6756445
552,L00330,Investor,Cash,False,,0
553,L00705,End User,Bank Transfer,False,,0
554,L00830,End User,Cash,True,Axis,8022669
555,L00259,End User,Cheque,False,,0
556,L00891,Investor,Bank Transfer,False,,0
557,L00834,End User,Cash,False,,0
558,L01188,End User,Cash,True,HDFC,7030118
559,L00905,End User,Bank Transfer,False,,0
560,L00526,End User,Cash,True,HDFC,5238932
561,L00814,Investor,Bank Transfer,True,PNB,2345941
562,L00732,End User,Cheque,True,PNB,8441708
563,L01032,End User,Bank Transfer,True,Axis,847938
564,L01141,Investor,Cheque,True,SBI,2764928
565,L00441,Investor,UPI,False,,0
566,L00532,End User,Cheque,True,PNB,4640629
567,L00960,End User,Bank Transfer,True,PNB,1578438
568,L00229,End User,Cash,False,,0
569,L01041,Investor,UPI,False,,0
570,L00213,Investor,UPI,True,ICICI,4841395
571,L00080,End User,Cash,False,,0
572,L00149,Investor,Cash,True,HDFC,6019642
573,L00592,End User,Cash,True,ICICI,760741
574,L00708,End User,Bank Transfer,True,SBI,5272443
575,L00590,End User,Cheque,False,,0
576,L00134,End User,UPI,True,ICICI,5183097
577,L00782,Investor,UPI,False,,0
578,L00409,Investor,Cash,True,PNB,4106112
579,L00970,End User,Cash,True,ICICI,2920025
580,L00508,End User,Cheque,True,PNB,8408727
581,L00877,End User,Cash,True,Axis,776604
582,L00505,End User,UPI,True,PNB,8255007
583,L00719,End User,Cash,True,HDFC,6443922
584,L00348,Investor,Bank Transfer,True,ICICI,4336220
585,L00387,Investor,UPI,False,,0
586,L00001,Investor,UPI,True,HDFC,5273875
587,L00361,End User,Cash,False,,0
588,L01134,End User,Cheque,False,,0
589,L00476,Investor,Cash,True,SBI,4846166
590,L00778,End User,Cash,True,SBI,6459675
591,L00754,End User,Cash,True,ICICI,4955370
592,L00173,Investor,Cash,False,,0
593,L00451,Investor,Cash,False,,0
594,L00126,Investor,Bank Transfer,True,Axis,8193628
595,L00931,End User,Bank Transfer,False,,0
596,L00531,End User,Bank Transfer,True,ICICI,5310756
597,L00091,End User,Cash,True,ICICI,5589727
598,L01162,End User,Cheque,True,Axis,2309916
599,L00182,End User,UPI,True,HDFC,6658940
600,L01027,End User,Bank Transfer,False,,0
601,L01000,Investor,Cash,False,,0
602,L00252,Investor,UPI,True,Axis,2984726
603,L00070,End User,Bank Transfer,True,PNB,7433197
604,L00132,End User,Bank Transfer,False,,0
605,L00301,End User,Cash,True,SBI,2272288
606,L01133,End User,Bank Transfer,False,,0
607,L00327,End User,Cheque,True,SBI,5282135
608,L01020,End User,UPI,False,,0
609,L00500,Investor,Cash,False,,0
610,L00666,Investor,Bank Transfer,True,Axis,5170015
611,L00919,End User,UPI,True,ICICI,3484202
612,L00496,End User,Cheque,False,,0
613,L00339,End User,UPI,False,,0
614,L00964,End User,Cheque,False,,0
615,L00165,Investor,Bank Transfer,True,ICICI,7071004
616,L00029,Investor,Cheque,True,ICICI,1572903
617,L00517,Investor,Cheque,False,,0
618,L00194,End User,Bank Transfer,False,,0
619,L01104,Investor,Cheque,True,ICICI,7728522
620,L00170,Investor,Cash,False,,0
621,L01059,Investor,UPI,False,,0
622,L00174,End User,Cash,False,,0
623,L00519,Investor,Bank Transfer,False,,0
624,L00969,Investor,UPI,False,,0
