attribute_id,listing_id,bedrooms,bathrooms,floor_number,total_floors,year_built,is_rented,tenant_count,furnishing_status,metro_distance_km,parking_available,power_backup
43,L00043,4,2,23.0,18,1997,False,3,Unfurnished,1.19,True,True
44,L00044,4,1,5.0,33,1999,True,1,Semi-Furnished,4.15,True,False
45,L00045,1,3,14.0,38,2002,False,0,Furnished,5.41,True,False
46,L00046,4,1,3.0,5,2004,False,1,Unfurnished,2.25,True,False
47,L00047,1,1,25.0,34,2020,False,0,Semi-Furnished,6.48,True,True
48,L00048,3,1,24.0,27,2022,True,0,Semi-Furnished,4.48,True,True
49,L00049,5,2,19.0,16,1996,False,3,Unfurnished,5.71,True,False
50,L00050,3,2,15.0,13,2009,False,3,Furnished,1.08,False,False
51,L00051,2,1,23.0,25,2000,False,3,Unfurnished,7.03,False,True
52,L00052,5,3,4.0,17,2021,True,0,Unfurnished,5.19,True,False
53,L00053,4,3,2.0,8,2015,True,1,Unfurnished,1.52,False,False
54,L00054,4,3,16.0,37,2001,True,4,Semi-Furnished,7.95,True,False
55,L00055,5,3,1.0,21,1999,False,2,Unfurnished,4.04,True,True
56,L00056,4,4,17.0,16,2001,True,3,Semi-Furnished,1.53,False,False
57,L00057,5,2,4.0,38,2010,False,1,Furnished,0.76,False,False
58,L00058,3,1,8.0,35,2009,True,0,Unfurnished,0.96,True,False
59,L00059,3,1,16.0,40,1996,False,4,Furnished,0.72,True,True
60,L00060,5,1,16.0,36,2009,False,0,Furnished,6.71,False,False
61,L00061,3,2,25.0,26,1995,True,1,Unfurnished,1.25,False,False
62,L00062,5,1,15.0,27,2020,True,1,Furnished,6.42,False,True
63,L00063,4,2,1.0,15,2006,False,3,Semi-Furnished,5.18,True,False
64,L00064,1,4,5.0,40,1997,True,0,Furnished,3.18,False,True
65,L00065,3,4,18.0,29,2021,False,0,Furnished,4.6,True,True
66,L00066,2,4,1.0,20,1998,True,2,Furnished,4.43,True,True
67,L00067,3,4,5.0,33,1997,False,2,Semi-Furnished,5.08,False,False
68,L00068,4,3,0.0,8,2004,True,3,Unfurnished,4.58,True,True
69,L00069,1,1,20.0,28,1996,False,3,Unfurnished,5.7,False,True
70,L00070,4,3,1.0,30,1995,True,4,Semi-Furnished,4.75,True,False
71,L00071,1,3,0.0,15,2019,True,3,Semi-Furnished,6.5600000000000005,True,True
72,L00072,5,2,16.0,5,2017,False,0,Unfurnished,1.2,False,True
73,L00073,1,3,19.0,34,1999,False,3,Unfurnished,6.78,True,False
74,L00074,2,1,12.0,6,1996,False,0,Furnished,4.97,True,False
75,L00075,1,3,10.0,29,1995,False,1,Semi-Furnished,5.01,True,False
76,L00076,4,2,13.0,18,2015,True,2,Unfurnished,7.82,True,True
77,L00077,2,1,21.0,33,1998,True,3,Semi-Furnished,4.88,True,False
78,L00078,2,2,5.0,12,1995,False,0,Unfurnished,5.04,True,True
79,L00079,5,3,6.0,13,2022,True,4,Semi-Furnished,7.69,False,False
80,L00080,5,1,6.0,28,2022,True,1,Semi-Furnished,3.65,True,True
81,L00081,4,2,8.0,14,2008,True,1,Unfurnished,4.74,False,False
82,L00082,1,1,10.0,14,2007,False,4,Furnished,3.86,True,True
83,L00083,4,2,3.0,17,2004,True,0,Furnished,3.21,True,False
84,L00084,5,3,22.0,16,1999,True,1,Unfurnished,4.17,False,False
85,L00085,5,1,9.0,19,2018,True,1,Semi-Furnished,5.61,False,False
86,L00086,5,3,23.0,18,2001,False,3,Unfurnished,5.75,True,True
87,L00087,3,2,13.0,31,2014,True,1,Unfurnished,2.93,True,False
88,L00088,4,2,11.0,8,2016,True,3,Furnished,3.8200000000000003,False,True
89,L00089,3,2,5.0,31,2016,True,4,Furnished,7.3,True,False
90,L00090,5,3,14.0,19,2001,True,4,Furnished,3.58,False,False
91,L00091,1,1,3.0,20,2005,True,3,Furnished,6.77,True,False
92,L00092,2,2,14.0,23,1998,False,1,Furnished,3.49,True,True
93,L00093,3,2,3.0,21,2007,False,1,Unfurnished,4.2,True,False
94,L00094,1,4,19.0,36,1996,True,1,Unfurnished,3.38,False,False
95,L00095,4,4,23.0,40,1999,False,0,Semi-Furnished,5.52,False,False
96,L00096,1,3,19.0,12,2007,True,1,Furnished,0.42,False,True
97,L00097,3,4,7.0,23,2006,True,4,Unfurnished,7.62,False,True
98,L00098,4,4,9.0,23,2003,True,4,Unfurnished,4.14,True,False
99,L00099,5,3,0.0,36,2010,False,1,Semi-Furnished,7.2,False,False
100,L00100,3,4,17.0,36,2013,True,3,Semi-Furnished,7.9,False,False
101,L00101,1,4,19.0,13,2008,True,2,Semi-Furnished,3.58,True,True
102,L00102,5,3,11.0,24,2013,True,2,Semi-Furnished,3.25,True,False
103,L00103,1,4,14.0,38,2018,True,4,Unfurnished,3.07,False,True
104,L00104,1,4,23.0,38,2006,True,1,Furnished,3.56,True,False
105,L00105,3,2,3.0,21,2020,True,0,Furnished,7.95,False,True
106,L00106,3,2,12.0,35,2001,True,4,Semi-Furnished,3.38,True,False
107,L00107,5,2,1.0,24,2004,True,4,Semi-Furnished,5.5600000000000005,True,False
108,L00108,1,1,6.0,18,2023,True,3,Semi-Furnished,0.81,False,False
109,L00109,2,2,23.0,25,2023,True,3,Unfurnished,7.51,True,True
110,L00110,1,4,0.0,36,2004,True,2,Furnished,2.13,True,False
111,L00111,4,1,25.0,23,2017,True,2,Furnished,0.9400000000000001,False,False
112,L00112,5,3,24.0,16,2011,True,3,Unfurnished,4.14,False,False
113,L00113,3,3,22.0,12,1996,False,0,Furnished,3.12,False,False
114,L00114,1,3,1.0,33,2008,False,4,Unfurnished,5.66,False,False
115,L00115,3,2,20.0,12,2021,False,0,Furnished,7.5,True,False
116,L00116,2,1,25.0,29,2000,False,0,Furnished,1.7000000000000002,False,True
117,L00117,1,4,19.0,13,2001,False,3,Semi-Furnished,3.34,True,False
118,L00118,3,3,12.0,16,2000,True,3,Unfurnished,3.41,False,False
119,L00119,3,2,25.0,36,2023,True,4,Semi-Furnished,7.77,False,False
120,L00120,5,2,22.0,40,2023,True,0,Furnished,3.24,False,True
121,L00121,5,3,24.0,21,2018,True,2,Semi-Furnished,1.9500000000000002,False,True
122,L00122,2,2,16.0,27,2005,False,2,Semi-Furnished,5.69,True,True
123,L00123,5,3,8.0,36,2008,False,3,Unfurnished,4.52,True,True
124,L00124,1,2,9.0,22,2000,True,1,Furnished,2.7199999999999998,False,True
125,L00125,3,2,15.0,29,1999,False,0,Unfurnished,5.75,True,False
126,L00126,3,2,6.0,23,2007,False,0,Furnished,2.5300000000000002,False,True
127,L00127,5,1,10.0,20,2001,False,4,Semi-Furnished,7.95,False,True
128,L00128,1,3,11.0,23,2001,False,2,Furnished,2.48,True,True
129,L00129,2,2,23.0,32,2012,True,3,Semi-Furnished,6.51,True,True
130,L00130,1,1,15.0,22,2002,False,4,Furnished,1.15,False,False
131,L00131,5,3,8.0,8,2022,False,3,Unfurnished,1.31,False,False
132,L00132,1,4,14.0,32,2022,True,3,Unfurnished,0.96,False,True
133,L00133,5,1,5.0,29,2006,True,3,Unfurnished,5.38,True,True
134,L00134,3,3,3.0,17,2015,False,4,Semi-Furnished,0.26,True,False
135,L00135,5,3,20.0,31,2018,True,4,Furnished,3.87,False,True
136,L00136,5,2,16.0,14,1998,True,0,Furnished,2.5,False,True
137,L00137,3,4,11.0,16,2007,True,3,Semi-Furnished,2.5,True,False
138,L00138,2,2,10.0,17,2006,True,0,Semi-Furnished,1.1400000000000001,False,True
139,L00139,3,1,16.0,9,2018,False,4,Semi-Furnished,7.22,True,True
140,L00140,2,1,10.0,32,1999,False,2,Semi-Furnished,2.0,False,True
141,L00141,2,2,12.0,30,2016,True,4,Unfurnished,8.0,False,False
142,L00142,4,4,24.0,37,2021,False,3,Furnished,1.38,True,False
143,L00143,3,4,5.0,31,2013,False,4,Unfurnished,1.6800000000000002,True,True
144,L00144,5,2,22.0,14,2015,True,2,Unfurnished,2.77,False,False
145,L00145,1,1,16.0,20,1997,False,3,Furnished,2.11,False,False
146,L00146,4,3,16.0,17,1995,False,0,Semi-Furnished,3.24,True,True
147,L00147,5,2,18.0,35,2002,False,0,Unfurnished,4.9,False,False
148,L00148,4,3,23.0,21,2023,False,1,Semi-Furnished,2.66,True,False
149,L00149,3,3,8.0,24,1998,False,1,Semi-Furnished,5.1,True,True
150,L00150,4,1,9.0,29,2001,False,3,Unfurnished,5.55,True,False
151,L00151,1,2,15.0,5,1996,True,0,Furnished,3.35,False,True
152,L00152,3,1,4.0,23,2010,True,1,Semi-Furnished,1.46,False,False
153,L00153,1,4,13.0,19,2020,True,3,Furnished,1.65,False,True
154,L00154,3,2,21.0,39,2020,False,4,Semi-Furnished,5.8100000000000005,False,False
155,L00155,3,4,18.0,12,1997,False,2,Furnished,3.32,False,False
156,L00156,1,1,0.0,14,2010,True,3,Semi-Furnished,5.72,False,False
157,L00157,3,3,25.0,7,2021,True,3,Semi-Furnished,7.27,False,True
158,L00158,3,1,4.0,30,2018,False,2,Semi-Furnished,1.46,False,True
159,L00159,2,1,19.0,13,2009,True,0,Furnished,4.62,True,False
160,L00160,4,4,4.0,17,2006,False,3,Semi-Furnished,2.42,True,False
161,L00161,3,3,22.0,23,2019,False,3,Semi-Furnished,2.74,False,True
162,L00162,4,1,12.0,33,2002,False,3,Semi-Furnished,6.96,True,False
163,L00163,4,2,10.0,22,2023,False,0,Furnished,2.33,False,False
164,L00164,2,2,0.0,11,2020,False,2,Semi-Furnished,6.44,True,False
165,L00165,4,2,5.0,31,2008,True,0,Unfurnished,5.09,True,True
166,L00166,5,3,8.0,24,2000,False,2,Semi-Furnished,3.61,True,True
167,L00167,2,3,4.0,23,2014,True,1,Furnished,1.01,True,False
168,L00168,2,4,21.0,30,1999,True,3,Furnished,1.88,True,False
169,L00169,3,1,21.0,28,2013,False,4,Semi-Furnished,7.08,True,True
170,L00170,5,2,9.0,33,2004,True,2,Furnished,5.04,False,False
171,L00171,3,1,21.0,27,2019,False,1,Furnished,1.34,False,True
172,L00172,4,1,9.0,39,2013,False,1,Semi-Furnished,0.33,False,False
173,L00173,1,2,6.0,35,2001,True,2,Semi-Furnished,3.21,False,False
174,L00174,2,1,9.0,26,2011,True,4,Semi-Furnished,4.63,True,False
175,L00175,5,2,17.0,27,2022,False,3,Semi-Furnished,5.97,False,True
176,L00176,2,2,21.0,23,2009,False,2,Furnished,7.9,True,False
177,L00177,4,1,13.0,21,2023,True,2,Semi-Furnished,4.25,True,False
178,L00178,4,2,16.0,17,2015,True,4,Semi-Furnished,2.67,False,False
179,L00179,2,2,20.0,6,2014,True,3,Unfurnished,7.19,False,False
180,L00180,5,4,22.0,7,2007,True,1,Furnished,1.83,True,False
181,L00181,4,3,10.0,16,2014,True,3,Semi-Furnished,1.83,False,False
182,L00182,1,3,17.0,29,2007,False,3,Unfurnished,4.31,False,True
183,L00183,1,1,18.0,7,2002,False,0,Unfurnished,4.02,True,True
184,L00184,3,1,21.0,22,2009,False,2,Semi-Furnished,6.5600000000000005,True,True
185,L00185,2,1,4.0,9,2003,True,3,Unfurnished,1.54,True,False
186,L00186,4,1,18.0,23,2023,False,2,Furnished,5.66,True,True
187,L00187,1,4,17.0,27,2003,True,2,Unfurnished,3.36,False,False
188,L00188,5,4,9.0,18,2011,False,2,Semi-Furnished,5.1,False,False
189,L00189,4,2,7.0,21,2004,False,3,Furnished,1.3900000000000001,False,True
190,L00190,5,2,15.0,36,2019,False,2,Furnished,7.82,False,False
191,L00191,5,1,9.0,25,2014,True,1,Furnished,4.78,True,False
192,L00192,5,1,19.0,18,1995,True,3,Semi-Furnished,7.74,False,False
193,L00193,3,2,5.0,21,2021,True,0,Semi-Furnished,7.31,True,True
194,L00194,4,1,13.0,39,2007,True,3,Furnished,2.52,False,False
195,L00195,1,4,10.0,23,2023,True,3,Semi-Furnished,0.96,True,True
196,L00196,3,2,15.0,20,2016,False,0,Semi-Furnished,6.64,True,True
197,L00197,2,3,2.0,29,1999,True,4,Unfurnished,5.36,True,True
198,L00198,4,3,23.0,5,1996,False,0,Unfurnished,2.19,True,True
199,L00199,2,3,0.0,34,2016,False,3,Furnished,3.11,False,True
200,L00200,5,2,10.0,32,2021,True,4,Furnished,6.67,False,True
201,L00201,4,3,22.0,38,2013,True,3,Unfurnished,2.32,False,False
202,L00202,4,3,11.0,35,2004,False,0,Unfurnished,3.76,False,True
203,L00203,2,2,4.0,28,2012,False,0,Furnished,2.05,True,False
204,L00204,3,2,24.0,24,2023,False,0,Semi-Furnished,3.44,False,True
205,L00205,4,3,22.0,31,2003,True,4,Semi-Furnished,3.23,False,False
206,L00206,4,1,8.0,22,2002,True,2,Unfurnished,6.49,True,False
207,L00207,4,3,14.0,11,2018,True,0,Unfurnished,7.69,False,False
208,L00208,2,3,3.0,26,1996,False,3,Unfurnished,3.63,True,True
209,L00209,3,2,15.0,10,2007,False,3,Unfurnished,6.39,False,True
210,L00210,2,4,18.0,6,2007,True,2,Furnished,7.04,False,True
211,L00211,4,4,22.0,16,2005,False,1,Furnished,5.97,False,True
212,L00212,2,4,1.0,40,2002,False,4,Furnished,2.03,False,True
213,L00213,4,2,12.0,27,2016,False,0,Semi-Furnished,1.19,False,True
214,L00214,3,1,22.0,13,2002,False,4,Furnished,5.76,True,True
215,L00215,3,3,17.0,32,2013,False,4,Unfurnished,6.69,False,False
216,L00216,2,1,18.0,11,2017,True,1,Furnished,6.53,True,True
217,L00217,4,4,7.0,16,2007,True,0,Furnished,5.82,True,False
218,L00218,2,1,24.0,16,2012,True,0,Semi-Furnished,4.39,True,False
219,L00219,1,3,18.0,17,1997,False,0,Semi-Furnished,0.76,False,False
220,L00220,5,4,6.0,30,2007,True,4,Furnished,5.72,False,True
221,L00221,3,2,7.0,14,2019,False,2,Semi-Furnished,1.71,True,False
222,L00222,5,1,1.0,24,1998,False,4,Semi-Furnished,6.17,True,False
223,L00223,2,4,21.0,20,2003,True,3,Semi-Furnished,4.02,True,True
224,L00224,5,1,10.0,17,2001,False,0,Unfurnished,5.47,True,False
225,L00225,5,4,19.0,20,2023,False,1,Furnished,5.92,True,True
226,L00226,3,4,14.0,21,2020,False,3,Unfurnished,4.66,True,True
227,L00227,2,3,0.0,22,2003,False,2,Furnished,1.1,False,True
228,L00228,4,3,22.0,22,1999,False,2,Furnished,7.3,False,True
229,L00229,1,4,16.0,27,2002,False,0,Furnished,7.95,True,True
230,L00230,3,1,16.0,40,1998,True,2,Furnished,4.43,True,False
231,L00231,5,3,13.0,32,2017,True,4,Semi-Furnished,3.09,False,True
232,L00232,5,1,16.0,28,2007,False,3,Semi-Furnished,5.77,False,True
233,L00233,2,2,18.0,23,2022,False,0,Unfurnished,6.33,False,True
234,L00234,4,2,13.0,37,2004,False,3,Unfurnished,5.8100000000000005,False,False
235,L00235,3,2,15.0,15,2022,False,4,Unfurnished,2.42,False,False
236,L00236,3,1,19.0,23,2016,True,0,Unfurnished,0.21,True,True
237,L00237,4,2,3.0,10,2021,False,3,Unfurnished,5.55,False,True
238,L00238,5,1,6.0,25,1995,False,3,Furnished,4.79,False,False
239,L00239,2,2,13.0,33,2016,False,3,Unfurnished,7.94,True,False
240,L00240,3,3,12.0,33,2022,False,0,Furnished,3.67,True,False
241,L00241,1,3,7.0,38,2019,True,2,Furnished,5.91,True,False
242,L00242,2,4,8.0,19,2003,True,1,Unfurnished,6.36,True,True
243,L00243,2,3,0.0,37,2012,False,3,Furnished,7.94,True,False
244,L00244,1,1,9.0,36,2008,False,4,Unfurnished,1.02,False,False
245,L00245,4,4,18.0,5,1998,True,1,Furnished,0.58,False,False
246,L00246,1,1,10.0,12,1999,True,3,Unfurnished,7.74,False,True
247,L00247,5,1,6.0,38,2016,False,0,Semi-Furnished,2.51,True,True
248,L00248,2,1,3.0,11,2014,False,0,Unfurnished,4.9,True,True
249,L00249,1,3,1.0,21,2000,True,3,Furnished,5.59,True,False
250,L00250,4,3,8.0,22,2012,False,2,Furnished,2.05,True,True
251,L00251,1,2,20.0,23,1995,True,3,Unfurnished,6.94,False,True
252,L00252,2,2,16.0,5,2013,True,4,Unfurnished,0.4,True,True
253,L00253,3,3,16.0,7,2013,True,0,Furnished,6.61,False,True
254,L00254,2,1,11.0,18,2015,False,1,Semi-Furnished,7.1,False,True
255,L00255,4,3,10.0,32,2023,False,1,Unfurnished,3.2,False,True
256,L00256,4,2,9.0,18,1997,False,0,Furnished,0.47000000000000003,False,True
257,L00257,3,3,1.0,20,2009,False,3,Semi-Furnished,7.4,False,False
258,L00258,5,3,16.0,16,2002,True,3,Unfurnished,2.44,True,False
259,L00259,5,2,5.0,21,2017,False,1,Unfurnished,2.64,False,False
260,L00260,3,2,25.0,6,1999,False,1,Unfurnished,1.03,False,True
261,L00261,3,3,20.0,10,2005,True,0,Furnished,4.42,True,False
262,L00262,5,4,25.0,29,2006,False,4,Unfurnished,2.7199999999999998,False,True
263,L00263,4,3,21.0,17,2013,False,1,Semi-Furnished,7.46,True,False
264,L00264,3,4,13.0,28,2018,True,4,Semi-Furnished,2.39,False,False
265,L00265,1,2,12.0,39,2012,True,2,Furnished,7.21,True,False
266,L00266,1,1,14.0,11,1996,False,0,Semi-Furnished,4.3,True,False
267,L00267,5,1,24.0,17,1998,True,1,Semi-Furnished,1.9500000000000002,False,False
268,L00268,3,3,16.0,5,1998,True,1,Unfurnished,6.97,True,True
269,L00269,3,4,11.0,26,2005,True,0,Semi-Furnished,5.9,True,False
270,L00270,5,3,13.0,25,1999,False,0,Semi-Furnished,8.0,True,True
271,L00271,4,2,22.0,15,1996,True,3,Semi-Furnished,1.3599999999999999,False,True
272,L00272,4,2,25.0,5,2004,True,2,Semi-Furnished,4.99,True,False
273,L00273,4,2,1.0,16,2004,True,0,Semi-Furnished,7.67,True,True
274,L00274,1,2,10.0,37,2019,True,0,Semi-Furnished,2.35,False,False
275,L00275,5,2,16.0,9,2008,False,1,Furnished,7.04,True,False
276,L00276,3,2,1.0,21,2002,False,2,Furnished,4.01,True,True
277,L00277,3,1,20.0,26,2012,True,3,Semi-Furnished,4.6,True,False
278,L00278,2,4,10.0,21,2007,False,0,Unfurnished,7.17,True,True
279,L00279,3,3,0.0,28,2019,False,0,Furnished,1.38,True,False
280,L00280,3,2,1.0,24,2021,False,3,Furnished,7.3,True,False
281,L00281,1,3,5.0,10,2018,True,2,Unfurnished,7.21,False,False
282,L00282,1,2,19.0,29,2021,False,1,Semi-Furnished,6.9,True,True
283,L00283,4,4,19.0,18,2013,False,1,Unfurnished,7.58,False,False
284,L00284,3,2,7.0,38,2014,True,1,Furnished,4.07,True,False
285,L00285,1,1,12.0,20,2008,False,1,Semi-Furnished,2.17,False,False
286,L00286,1,3,18.0,18,1998,True,0,Semi-Furnished,6.24,True,False
287,L00287,2,3,23.0,22,2006,True,3,Unfurnished,7.27,False,False
288,L00288,3,1,6.0,28,2010,False,2,Semi-Furnished,1.55,False,True
289,L00289,3,2,14.0,25,2021,True,2,Semi-Furnished,0.9400000000000001,False,False
290,L00290,5,1,7.0,34,2003,True,0,Semi-Furnished,6.08,False,False
291,L00291,3,1,18.0,34,2020,False,0,Unfurnished,5.09,False,False
292,L00292,5,2,8.0,31,2015,False,4,Furnished,4.92,True,True
293,L00293,3,3,1.0,12,2012,False,2,Unfurnished,3.03,False,True
294,L00294,4,2,13.0,12,2003,False,4,Unfurnished,4.42,False,False
295,L00295,4,2,18.0,17,1999,True,1,Unfurnished,4.39,False,False
296,L00296,2,1,21.0,25,2003,True,1,Semi-Furnished,7.5600000000000005,False,False
297,L00297,5,1,13.0,10,2013,False,2,Semi-Furnished,6.73,True,True
298,L00298,4,3,3.0,15,2003,False,4,Furnished,7.93,True,False
299,L00299,5,4,4.0,9,2016,True,1,Unfurnished,5.79,False,False
300,L00300,1,1,20.0,30,2022,True,2,Unfurnished,4.59,False,False
301,L00301,1,2,3.0,32,2002,True,2,Unfurnished,4.74,True,True
302,L00302,4,4,9.0,30,1997,False,3,Semi-Furnished,7.22,True,True
303,L00303,3,4,11.0,7,2003,True,3,Unfurnished,1.16,True,True
304,L00304,4,1,3.0,17,2002,True,3,Semi-Furnished,0.93,True,True
305,L00305,2,4,6.0,36,1995,True,0,Semi-Furnished,3.06,True,False
306,L00306,5,3,17.0,32,2011,False,0,Unfurnished,2.38,True,True
307,L00307,2,2,14.0,28,2008,True,0,Semi-Furnished,3.33,False,False
308,L00308,4,2,21.0,5,2012,False,4,Unfurnished,5.22,False,False
309,L00309,3,2,18.0,33,2022,True,1,Furnished,0.81,False,False
310,L00310,3,4,9.0,22,1998,False,4,Furnished,5.3,True,True
311,L00311,1,3,14.0,9,1996,False,3,Semi-Furnished,7.99,True,False
312,L00312,4,4,5.0,27,2003,False,0,Furnished,5.39,False,False
313,L00313,5,2,18.0,14,2008,False,1,Semi-Furnished,1.05,False,False
314,L00314,3,2,19.0,19,2013,True,0,Furnished,0.79,False,False
315,L00315,3,2,2.0,40,2010,False,2,Furnished,4.75,True,False
316,L00316,5,4,19.0,35,2020,False,1,Furnished,2.14,True,False
317,L00317,2,2,3.0,31,2005,True,0,Unfurnished,6.31,False,True
318,L00318,2,2,23.0,21,2023,False,3,Unfurnished,0.39,False,True
319,L00319,4,2,0.0,39,2013,True,4,Unfurnished,3.94,True,False
320,L00320,1,3,20.0,30,2005,False,1,Furnished,7.25,False,False
321,L00321,5,4,19.0,33,2007,False,2,Semi-Furnished,1.88,True,True
322,L00322,2,2,23.0,31,2002,False,2,Semi-Furnished,4.95,False,False
323,L00323,3,4,22.0,25,2008,True,4,Furnished,1.23,False,True
324,L00324,3,3,20.0,8,2003,True,1,Furnished,5.21,False,False
325,L00325,2,3,25.0,33,2012,False,1,Semi-Furnished,0.33,False,True
326,L00326,3,3,4.0,35,2012,True,0,Semi-Furnished,2.56,True,False
327,L00327,2,4,16.0,16,2013,False,2,Semi-Furnished,7.3,False,False
328,L00328,1,3,25.0,34,2021,False,0,Semi-Furnished,5.12,True,False
329,L00329,3,4,24.0,5,2023,True,4,Unfurnished,0.66,True,True
330,L00330,4,4,6.0,24,2015,True,0,Furnished,7.08,False,True
331,L00331,4,4,17.0,32,2009,True,0,Furnished,1.6,False,False
332,L00332,4,2,10.0,27,2008,False,0,Semi-Furnished,7.34,True,True
333,L00333,1,2,2.0,17,2004,True,4,Unfurnished,2.54,True,True
334,L00334,2,2,5.0,38,1999,True,1,Furnished,4.17,False,False
335,L00335,5,1,13.0,9,2009,False,3,Unfurnished,4.42,False,False
336,L00336,4,4,8.0,13,2009,False,3,Unfurnished,7.02,False,True
337,L00337,3,4,7.0,14,2013,True,4,Semi-Furnished,3.01,True,False
338,L00338,1,2,0.0,28,2012,True,4,Unfurnished,1.67,False,False
339,L00339,3,2,14.0,12,2006,False,1,Semi-Furnished,1.2,True,False
340,L00340,2,2,13.0,29,2016,False,4,Furnished,1.46,False,False
341,L00341,3,1,19.0,18,1999,False,1,Unfurnished,0.26,True,False
342,L00342,3,2,8.0,22,2010,False,3,Unfurnished,1.46,False,True
343,L00343,5,3,21.0,33,1996,False,3,Semi-Furnished,4.1,False,True
344,L00344,1,1,3.0,32,2003,True,1,Unfurnished,0.59,True,True
345,L00345,5,3,22.0,34,2013,True,4,Furnished,6.55,True,True
346,L00346,5,1,2.0,18,2007,False,2,Unfurnished,1.8399999999999999,False,False
347,L00347,4,3,8.0,13,2000,True,3,Unfurnished,4.76,False,False
348,L00348,5,3,19.0,29,1999,False,4,Furnished,0.78,False,True
349,L00349,1,2,0.0,19,2012,False,1,Furnished,4.1,True,True
350,L00350,3,3,9.0,35,2001,False,0,Furnished,1.48,True,False
351,L00351,2,1,8.0,39,2016,True,0,Unfurnished,0.49,False,True
352,L00352,5,1,17.0,28,2018,False,4,Furnished,6.63,False,False
353,L00353,4,1,8.0,14,2005,False,4,Semi-Furnished,4.24,False,True
354,L00354,1,2,22.0,11,2008,True,0,Semi-Furnished,3.02,False,False
355,L00355,3,2,12.0,19,2007,True,2,Semi-Furnished,6.63,True,True
356,L00356,2,2,12.0,18,2019,False,1,Semi-Furnished,3.99,True,True
357,L00357,3,1,7.0,7,2022,False,2,Unfurnished,0.58,True,True
358,L00358,1,1,6.0,36,2002,False,2,Unfurnished,6.13,True,False
359,L00359,1,2,9.0,12,2000,True,3,Furnished,1.01,False,False
360,L00360,3,4,20.0,18,2008,True,1,Furnished,5.99,True,False
